sa2_name_2011,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,points1,focal_longitude1,focal_latitude1,focal_distance1,angle1,rownumber,hex_long,hex_lat,hex_id
Ainslie,149.1478556837077,-35.26227144944687,Canberra,149.1290262,-35.28302855,2870.27155132059,36.51809229852723,Canberra,149.1290262,-35.28302855,2870.27155132059,36.51809229852723,55,149.49563915835628,-34.77335694816701,78543
Marrickville,151.15558083429298,-33.91124400492235,Sydney,151.1851798,-33.92001097,2904.812028322999,-70.34937088203685,Sydney,151.1851798,-33.92001097,2904.812028322999,-70.34937088203685,56,150.7956391583563,-33.90733154438257,81040
Newtown - Camperdown - Darlington,151.18233024431726,-33.89377187917558,Sydney,151.1851798,-33.92001097,2922.376383174054,-5.149457497113976,Sydney,151.1851798,-33.92001097,2922.376383174054,-5.149457497113976,57,151.09563915835628,-33.734126463625685,81539
North Adelaide,138.59533484672562,-34.90841374330143,Adelaide,138.6000048,-34.93498777,2978.832398130193,-8.197993699971041,Adelaide,138.6000048,-34.93498777,2978.832398130193,-8.197993699971041,58,138.49563915835628,-34.77335694816701,78488
Wembley - West Leederville - Glendalough,115.82175495553349,-31.932837871447138,Perth,115.8399987,-31.95501463,3003.773594974921,-34.913080197852004,Perth,115.8399987,-31.95501463,3003.773594974921,-34.913080197852004,59,115.7956391583563,-31.828870575299923,86841
Albert Park,144.96397534770452,-37.845647034195416,Melbourne,144.9750162,-37.82003131,3004.72550322055,-161.1970126884784,Melbourne,144.9750162,-37.82003131,3004.72550322055,-161.1970126884784,60,144.8956391583563,-38.23745856330477,68560
Docklands,144.94022524341935,-37.81810021626117,Melbourne,144.9750162,-37.82003131,3070.7682866464997,-85.97007227897,Melbourne,144.9750162,-37.82003131,3070.7682866464997,-85.97007227897,61,144.59563915835628,-37.71784332103411,70053
South Brisbane,153.0199418516127,-27.479228089993878,Brisbane,153.0350927,-27.45503091,3071.172644264889,-150.94172020310944,Brisbane,153.0350927,-27.45503091,3071.172644264889,-150.94172020310944,62,152.69563915835627,-27.845153717891506,98479
Richmond (SA),138.56601400588073,-34.92789729567275,Adelaide,138.6000048,-34.93498777,3203.627712046242,-75.71482672460455,Adelaide,138.6000048,-34.93498777,3203.627712046242,-75.71482672460455,63,138.3956391583563,-34.94656202892391,77990
Balmoral,153.0675014738509,-27.456167763647816,Brisbane,153.0350927,-27.45503091,3206.1515317763724,92.25631053148584,Brisbane,153.0350927,-27.45503091,3206.1515317763724,92.25631053148584,64,153.3956391583563,-27.67194863713462,98981
Coconut Grove,130.85186816602203,-12.396033381347094,Darwin,130.8500386,-12.42535398,3249.714680013709,3.487126320437584,Darwin,130.8500386,-12.42535398,3249.714680013709,3.487126320437584,65,130.99563915835628,-12.083491369014723,143689
Red Hill (Qld),153.00218096058046,-27.452521217289426,Brisbane,153.0350927,-27.45503091,3265.312676419927,-85.08089692124035,Brisbane,153.0350927,-27.45503091,3265.312676419927,-85.08089692124035,66,152.59563915835628,-27.32553847562084,99973
North Melbourne,144.94629039991239,-37.801233897109206,Melbourne,144.9750162,-37.82003131,3278.9611100446186,-50.35698734605721,Melbourne,144.9750162,-37.82003131,3278.9611100446186,-50.35698734605721,67,144.69563915835627,-37.54463824027722,70551
O'Connor (ACT),149.11252529600324,-35.25649511422308,Canberra,149.1290262,-35.28302855,3304.5374768709544,-26.91388058010484,Canberra,149.1290262,-35.28302855,3304.5374768709544,-26.91388058010484,68,148.8956391583563,-35.119767109680794,77544
North Perth,115.85296658522965,-31.926921637527,Perth,115.8399987,-31.95501463,3347.757497713303,21.387625839290006,Perth,115.8399987,-31.95501463,3347.757497713303,21.387625839290006,69,116.09563915835628,-31.655665494543037,87340
Hamilton (Qld),153.06202311858817,-27.436630821400282,Brisbane,153.0350927,-27.45503091,3353.4191334789302,52.40111581477415,Brisbane,153.0350927,-27.45503091,3353.4191334789302,52.40111581477415,70,153.3956391583563,-27.32553847562084,99977
Norwood (SA),138.6340336562343,-34.92289024263732,Adelaide,138.6000048,-34.93498777,3386.426801540219,66.54779812736874,Adelaide,138.6000048,-34.93498777,3386.426801540219,66.54779812736874,71,138.8956391583563,-35.119767109680794,77494
Mount Hawthorn - Leederville,115.83738084165088,-31.924434220141507,Perth,115.8399987,-31.95501463,3399.9665473663545,-4.154287033401559,Perth,115.8399987,-31.95501463,3399.9665473663545,-4.154287033401559,72,115.89563915835629,-31.655665494543037,87339
East Brisbane,153.04698144256224,-27.484078774699864,Brisbane,153.0350927,-27.45503091,3426.6159287025553,160.03941733904998,Brisbane,153.0350927,-27.45503091,3426.6159287025553,160.03941733904998,73,152.99563915835628,-28.018358798648393,97983
Redfern - Chippendale,151.2015820479993,-33.892249943706595,Sydney,151.1851798,-33.92001097,3432.6721830865995,26.117228819903023,Sydney,151.1851798,-33.92001097,3432.6721830865995,26.117228819903023,74,151.3956391583563,-33.5609213828688,82039
Kingston - Barton,149.14166478923883,-35.31246076354522,Canberra,149.1290262,-35.28302855,3461.838487064134,160.68230261111052,Canberra,149.1290262,-35.28302855,3461.838487064134,160.68230261111052,75,149.2956391583563,-35.46617727119457,76550
Newmarket,153.00786965518844,-27.43528164696983,Brisbane,153.0350927,-27.45503091,3468.7735196415756,-50.728933643362524,Brisbane,153.0350927,-27.45503091,3468.7735196415756,-50.728933643362524,76,152.69563915835627,-27.152333394863952,100471
Botany,151.20057613982485,-33.94900791715537,Sydney,151.1851798,-33.92001097,3517.3078220108678,156.22085137648804,Sydney,151.1851798,-33.92001097,3517.3078220108678,156.22085137648804,77,151.2956391583563,-34.08053662513946,80544
